user_id_str,hashtags,cashtags
1398195543319334912,"NFT, NFTGiveaway",-
1390805221195005952,"NFT, NFTGiveaway",-
1470372582385860608,"NFT, NFTGiveaway",-
1604526385099198464,"NFT, NFTGiveaway",-
1606628052330774528,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1626211935179137024,"NFT, NFTGiveaway",-
1455090394174132224,"NFT, NFTGiveaway",-
1468600123307413504,"NFT, NFTGiveaway",-
1261143759439290368,"NFT, NFTGiveaway",-
1618791915041988608,"NFT, NFTGiveaway",-
1534322488880025600,"NFT, NFTGiveaway",-
961627711759241216,"NFT, NFTGiveaway",-
1502464114022653952,"NFT, nfts, nft, nftart, nftcommunity, nftcollector, nftartist, digitalart, crypto, cryptoart, art, ethereum, opensea, nftcollectors, blockchain, nftdrop, nftcollectibles, cryptocurrency",ETH
1328044284734529536,"NFTCommunity, NFTGiveaway, nft, Giveaway",-
1506149880066199552,"NFT, NFTGiveaways, NFTs, NFT, NFTMarketplace, ETH, Ethereum, ETHW, EthereumClassic, nftcommunity, nftcollectors, nftartist, digitalart, crypto, cryptoart, art, blockchain, nftdrop, nftcollectibles, cryptocurrency",ETH
1484640226664488960,"Elrond, EGLD, NFT, Giveaway, MultiversX, NFTGiveaway, NFTs, Crypto, Btc, ElrondNFTs",EGLD
1557770063016517632,"NFT, GIVEAWAY, NFTs, ETH, nftgiveaway, nfts, NFTGiveaways, giveaways, ethnft, nfts, EthGiveaway, freenft, OpenSea, NFTsales",-
3017326912,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1558326382756872192,"NFT, GIVEAWAY, NFTs, cnft, solnfts, ethnfts, AptosNFTs, NFTCommunity, avaxnfts, nftcollectors",-
734575063,"NFT, GIVEAWAY, NFTs, cnft, solnfts, ethnfts, AptosNFTs, NFTCommunity, avaxnfts, nftcollectors, nft, NFTGiveaway",-
1544943429977014272,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1356791325538938880,"NFT, NFTGiveaway",-
950869766482182144,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1413948823542583296,"NFT, NFTGiveaway",-
1576857615379750912,"NFT, NFTs, NFTCollection, NFTGiveaway",-
1553723685529272320,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1615921602377486336,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1336659924659662848,"NFT, GIVEAWAY, ETH, nftgiveaway, nfts, NFTGiveaways, giveaway, Airdrop, NFTAirdrop, opensea, nftcommunity, NFTCollection, nftjapan, ダイイチルビー, ビーストウォーズ, alien, UFO, ufotwitter",-
2675202338,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1598162683546652672,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1334331276908642304,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1221270347724443648,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1323116180354310144,"NFTGiveaway, NFT, NFTCommunity",-
1212084908287377408,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
149619662,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
950328889271730176,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1428141630,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1565590260922617856,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1509497436116754432,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1567875199,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
904552394050207744,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1290458564532854784,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
785235121049772032,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1629129764102602752,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1338330757782253568,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
2329340000,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1489014953076047872,"SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1580506501915213824,"フォローRTキャンペーン, SYMBIOGENESIS, NFT, Giveaway, NFTGiveaway, Giveaways",-
1270532410518708224,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1473895093262495744,NFTGiveaway,-
1376643064018526208,"ICPeople, NFTGiveaway",ICP
