user_id_str,hashtags
1616917151943737344,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, funny, viral, ViralVideos, TrendingNow, Ukraine, loveisland, ChampionsLeague, WomensDay"
1613966533306519552,"Knockouts, knockout, fight, Fights, fightingvideos, schoolfights, videoviraltwitter"
1443563791824920576,"fight, fightsvideos, fightvideos, beef, fighting, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, gore"
1573689669790883840,"fights, fights, vapelife, streetfight, givethevapeback, fightsvideos, fightsatschool"
1559157462284046336,"karma, shitposting, death, killer, gorefight, Schoolfight, fighter, knockout, ghettofight, crazyfights, hoodbrawls, kickboxing, hoodmemes, revenge, fighters, MMA, fistfights, fight, seacow, Boxing, hoodfights, karate, Fights, punch, fightvideo, shitpost"
1596594627435532288,"wtf, viral, knockout, Fights, fightpage, hoodfights, brutalfights, brutal, like, repost, FolloMe"
1503629954982244352,"HERO, fightvideos, fightingvideos, fight, fightsatschool, FightVideo"
1433762513951285248,"fight, fights, girlfight, girlfights, fightvideo, fightvideos, TheSavageRoom, Savage"
1184131163616616448,"fight, hoodfight, streetfight, fights"
1372243684423430144,"viral, schoolfight, knockoutfights, slept, GetUp, loosefight, Youngin, win, GetBOOOSTED"
721005439,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup"
1614408410971209728,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath"
1627236834131709952,"Minneapolis, strange, PoliceChase, cars, lol, crazyfight, fightingvideos, wtf, wtfvideos, robbery, action"
250768990,"hoodfight, viral, streetfights, ghettofights, ghettofight, web3, hoodfights, schoolfight, jeru, blockchain, Putin, KanganaRanaut, DanceMasterJimin, BSC, girlfight, mma, fights, NFTdrop, cryptocurrency, NFT, Binance, Bitcoin"
1603022691656572928,"fightsvideos, fightvideos, fightingvideos, fightingatschool, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, hoodfight, hoodfights, boyfight, girlfights, gore, Death"
1600209410,"crazyfight, streetfights"
1615925420838223872,"peleas, peleascallejeras, peleacallejera, fightsvideos, fightsatschool, Fights, fight, wrestling, knockout, knockoutfights"
2319387122,"fight, fightsvideos, schoolfight"
1624777352763809792,"fight, fights, hoodvideos, hoodfighting, knockout, fightsatschool, fightsvideos, crazyfightr, schoolfights, hoodfights, gore, death, FighterPunch"
1450590516027006976,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo"
1463678859828764672,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral"
2319742069,"fight, fightsvideos, schoolfight, knockout"
1463617490605338624,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral, ViralVideos, Trending"
2668794696,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, shegotbeatup"
1024242995212763136,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath, death, CarCrash"
1570252097542569984,"fight, Girlsfight, worldstarfight, fightingvideos, fightsatschool, fightpage"
1256116775697231872,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, gore, funny, viral, news"
1312395300561195008,"fights, fighting, schoolfights, hoodfights, streetfights, brutal, fightpage, Fightingatschool"
1592343833744134144,"fightingvideos, Fights, fightvids, nyc, crazyfight, Knockouts"
1601948173521518592,"fight, fights, hoodvideos, hoodfighting, knockout, knockoutfights, fightingvideos, fightsatschool, fightsvideos, crazyfight, worldstar, schoolfights, hoodfights, gore, gorevid"
2318187547,"girlfight, shegotbeatup, shegothands, fightvids"
1600960787522134016,"fight, fighting, ghettofights, boysfighting, girlsfighting, schoolfights"
1633460284525543424,"boyfight, girlfight, Fights, fightsvideos, fightsatschool"
1616752231,"crazyfight, streetfights"
1608554783568175104,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout"
1264174306881404928,"hoodfight, fightpage"
2950549410,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, Trending"
1572539941380362240,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, shegotbeatup"
1609601578465460224,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, Schoolfights, Trending"
1597127751248449536,"fights, hoodvideos, hoodfighting, knockout, knockoutfights, fightingvideos, fightvideos"
1599614520237899776,"schoolfights, Trending, Fights, fighting, fightvids"
2284331025,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout"
1616927739189108736,"fightsgore, brutalfights, Fights, streetfights, Fightback, fyp, worldstarfight, hoodfights, viral, SelfDefense, Trending, goreaccident, basketball, fails"
1464712794,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral"
1604325588076036096,"Schoolfight, schoolfights, Fightingatschool, fights, fightpage"
1415833725552758784,"gore, fight, StreetFighter, Schoolfight, bullying, Death, deathgore, hoodfights, gunshot, Blood, scary, girl, woman, Fights, fightingvideo, lol, streetfight"
3315635672,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, shegotbeatup"
1242987934007152640,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral, ViralVideos, Trending"
1466152485500903424,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight"
1250402579672109056,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight"
1241402613184319488,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral, ViralVideos, Trending"
1357755111024459776,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral, ViralVideos, Trending"
1600010303621799936,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo"
1614298441168863232,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath"
1611538895493013504,"schoolfights, schoolfight, Fights, fightvids, fightschool, fightsvideos, FightVideo, Fightingatschool, boyfight, boyfights"
1482505502181531648,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath"
1574109692011347968,"street, fight, streetfight, knockout, ko, slammed, tbt, girlfight, schoolfight, ghettofights, fighting, hoodfights, gangfight, crazyfight, crazy, bodyslam, insane, crazyvideo, fights, crazy, knockouts, love, happy, beautiful"
1241222935840505856,"fightvids, fightpage"
1023531060657676288,"hoodfights, streetfights"
1469098961449283584,"fightingvideos, ShabeBarat, snow, fightingvideos, redbankfight, srchafreen, cabinetreshuffle, fightpage, grevedu7mars, cabinetreshuffle, JISOOComingSoonPoster, Maddow, fight, fightingvideos, fightpage"
1630322302704316416,"fight, hoodvideos, hoodfighting, knockout, knockoutfights, fightingvideos, fightsatschool, fightsvideos, worldstar, schoolfights, FighterPunch, F12023, BahrainGP"
1102194948638736384,"fightingvideos, Schoolfight, hoodfighting, damm, school, schoolfight, girlfight, fight, fightsvideos, fightvideos, fightingvideos, ko, knockout, fightingatschool, funny, shegotbeatup, shegothands, Fights, fightvids"
1590491698085462016,"fightingvideos, Schoolfight, hoodfighting, damm, school"
1592640638582939648,"fightcitybitch, girlfight, ghettofight, streetfight, hoodfight, RoyalRumble, brawl, fight, fightvids, worldstar, comment, like, share, RETWEEET, FolloMe"
1606893695755763712,"Fights, fightsvideos, fightvideos, fightingvideos, fightingatschool, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfight, racism"
1607640830671454208,"schoolfights, fight, fightingvideos, fights, fightvids, girlsfighting"
184230075,"Fights, Fighter, fightvideos, fightvids, ghettofights"
1356848932240969728,"fight, fightsvideos, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfights, funny, viral, ViralVideos, Trending"
1453317947892641792,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo"
1447692620126318592,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo"
1660478983,"hoodfights, fightingvideos"
1509706517192323072,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, hoodfights, funny, viral, ViralVideos, fightatschool, Schoolfights, meme, teacher, fightpage"
1617547290704502784,"scary, boy, woman, lol, streetfight, Fights, fightsvideos, fightvideos, fightingvideos, knockout, ko, shegotbeatup, Fights, fightvids, fightpage, FightVideo, fightsvideo, hoodfight, hoodfights, boyfight, girlfights, gore, funny, goredeath"
1024940186961149952,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights, fighting, FightVideo, fightsvideo, hoodfight, funny, viral, ViralVideos, Schoolfights, TrendingNow"
1618699829848186880,"fightpage, Fights, fight, ghettofights, Schoolfight"
1392210637481205760,"fightvideos, schoolfights, hoodfights"
1513110199472893952,"wwe, rip, fight, fightsvideos, fightvideos, fightingvideos, knockout, fightingatschool, funny, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo, boy, girlfights, girl, fightpage, Fun, funniesttweets"
1615736186206568448,"fight, fightsvideos, fightvideos, fightingvideos, schoolfight, knockout, ko, shegotbeatup, Fights"
1431690849369280512,"girlfights, schoolfights, fightvideos, shegotdragged, foryoupage"
1464736534897250304,"fight, fightsvideos, fightvideos, fightingvideos, ko, knockout, fightingatschool, funny, shegotbeatup, shegothands, Fights, fightvids, fightpage, fighting, FightVideo, fightsvideo, hoodfights, boyfight, girlfights, viral"
1624201575701913600,"ghettofights, schoolfights, streetfights"
1508473319141556224,"streetfights, viral2023, fights, Schoolfight, fightingvideos, FightOut, Girlfights"
